timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
24955065,0,307872066,1038586442,565985,525706,357623800,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.9,0,0,0.02,0.01,0.0,-0.01,-1.5707965,-24955065,6,1,17
25145916,0,307872066,1038586442,565983,525704,357624000,0,0,0.0,0.0,0.010000001,0.010000001,0.79999995,1.9,0,0,0.03,0.02,0.0,-0.01,-1.5707965,-25145916,6,1,17
25352993,0,307872066,1038586442,565980,525702,357624200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.049999997,-0.02,0.0,-0.049999997,-1.5707965,-25352993,6,1,17
25540954,0,307872066,1038586442,565980,525701,357624400,0,0,0.0,0.0,0.008,0.008,0.79999995,1.9,0,0,0.02,-0.01,0.0,0.01,-1.5707965,-25540954,6,1,17
25751512,0,307872066,1038586442,565983,525704,357624600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.9,0,0,0.02,0.01,-0.01,-0.01,-1.5707965,-25751512,6,1,17
25940006,0,307872066,1038586443,565983,525705,357624800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.049999997,0.0,0.01,0.049999997,-1.5707965,-25940006,6,1,17
26149949,0,307872066,1038586442,565987,525709,357625000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.099999994,-0.03,-0.02,-0.089999996,-1.5707965,-26149949,6,1,17
26339084,0,307872066,1038586442,565990,525711,357625200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.03,0.02,-0.01,-0.01,-1.5707965,-26339084,6,1,17
26549033,0,307872066,1038586442,565993,525714,357625400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.03,0.0,0.0,-0.03,-1.5707965,-26549033,6,1,17
26738112,0,307872066,1038586443,565989,525711,357625600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.049999997,0.01,0.01,0.04,-1.5707965,-26738112,6,1,17
26945873,0,307872065,1038586442,565990,525711,357625800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.02,-0.01,0.0,-0.02,-1.5707965,-26945873,6,1,17
27156337,0,307872065,1038586442,565990,525711,357626000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.04,0.0,0.0,0.03,-1.5707965,-27156337,6,1,17
27345905,0,307872065,1038586442,565989,525710,357626200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.03,0.02,0.0,0.01,-1.5707965,-27345905,6,1,17
27555059,0,307872066,1038586442,565986,525708,357626400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.02,0.01,0.01,-0.02,-1.5707965,-27555059,6,1,17
27743946,0,307872066,1038586443,565988,525709,357626600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.9,0,0,0.07,0.02,0.01,-0.06,-1.5707965,-27743946,6,1,17
27953095,0,307872066,1038586442,565987,525708,357626800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.02,0.0,-0.01,0.0,-1.5707965,-27953095,6,1,17
28141917,0,307872066,1038586443,565989,525710,357627000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.02,0.0,0.0,-0.02,-1.5707965,-28141917,6,1,17
28351113,0,307872066,1038586442,565992,525714,357627200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.01,0.0,-0.01,0.0,-1.5707965,-28351113,6,1,17
28539030,0,307872066,1038586442,565995,525716,357627400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.0,0.0,0.0,0.0,-1.5707965,-28539030,6,1,17
28747146,0,307872066,1038586442,565993,525714,357627600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.08,0.0,0.0,0.08,-1.5707965,-28747146,6,1,17
28955933,0,307872066,1038586442,565997,525718,357627800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.11,0.0,0.0,-0.11,-1.5707965,-28955933,6,1,17
29144921,0,307872066,1038586443,565995,525716,357628000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.01,0.0,0.0,0.0,-1.5707965,-29144921,6,1,17
29355063,0,307872066,1038586442,565987,525708,357628200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.049999997,0.0,-0.01,-0.049999997,-1.5707965,-29355063,6,1,17
29543997,0,307872066,1038586443,565982,525703,357628400,0,0,0.0,0.0,0.008,0.008,0.79999995,1.9,0,0,0.03,0.01,0.0,0.03,-1.5707965,-29543997,6,1,17
29752867,0,307872066,1038586443,565984,525705,357628600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.9,0,0,0.0,0.0,0.0,0.0,-1.5707965,-29752867,6,1,17
29941919,0,307872066,1038586443,565982,525704,357628800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.03,-0.01,0.0,0.03,-1.5707965,-29941919,6,1,17
30149918,0,307872066,1038586443,565982,525704,357629000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.01,0.01,0.0,0.0,-1.5707965,-30149918,6,1,17
30338973,0,307872066,1038586443,565983,525704,357629200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.04,0.01,0.0,0.03,-1.5707965,-30338973,6,1,17
30547061,0,307872066,1038586443,565986,525708,357629400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.03,0.01,0.02,-0.01,-1.5707965,-30547061,6,1,17
30756868,0,307872066,1038586443,565989,525710,357629600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-30756868,6,1,17
30945866,0,307872066,1038586443,565989,525710,357629800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.02,0.01,0.0,-0.01,-1.5707965,-30945866,6,1,17
31156874,0,307872066,1038586443,565991,525712,357630000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.02,0.01,0.0,-0.01,-1.5707965,-31156874,6,1,17
31347941,0,307872066,1038586443,565990,525711,357630200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.9,0,0,0.049999997,-0.01,-0.01,0.04,-1.5707965,-31347941,6,1,17
